unnamed:_0,house_number,street,first_name,surname,age,relationship_to_head_of_house,marital_status,gender,occupation,infirmity,religion
547,2,Reid Club,Timothy,Ahmed,45.0,Head,Married,Male,"Therapist, occupational",None,Christian
548,2,Reid Club,Kerry,Ahmed,44.0,Wife,Married,Female,Research scientist (maths),None,Christian
549,2,Reid Club,Mathew,Ahmed,10.0,Son,N/A,Male,Student,None,Not Stated
550,3,Reid Club,Melanie,Rogers,55.0,Head,Married,Female,"Designer, television/film set",None,Christian
551,3,Reid Club,Danny,Rogers,57.0,Husband,Married,Male,"Designer, blown glass/stained glass",None,Not Stated
552,3,Reid Club,Anne,Rogers,24.0,Daughter,Single,Female,Unemployed,None,Christian
553,3,Reid Club,Amy,Rogers,21.0,Daughter,Single,Female,University Student,None,Not Stated
554,3,Reid Club,Marion,Rogers,18.0,Daughter,Single,Female,Student,None,Not Stated
555,4,Reid Club,Chelsea,Williams,25.0,Head,Married,Female,Adult nurse,None,Catholic
556,4,Reid Club,Nicholas,Williams,21.0,Husband,Married,Male,University Student,None,Catholic
557,4,Reid Club,Cheryl,Williams,9.0,Daughter,N/A,Female,Student,None,Not Stated
558,4,Reid Club,Amy,Williams,5.0,Daughter,N/A,Female,Student,None,Not Stated
559,5,Reid Club,Norman,Cooper,22.0,Head,Single,Male,University Student,None,Not Stated
560,5,Reid Club,Kevin,Read,35.0,Unknown,Single,Male,University Student,None,Methodist
561,5,Reid Club,Malcolm,Jenkins,35.0,Unknown,Single,Male,University Student,None,Not Stated
562,5,Reid Club,Kevin,Taylor,35.0,Unknown,Single,Male,University Student,None,Not Stated
563,6,Reid Club,Alice,Marsh,44.0,Head,Married,Female,Management consultant,None,Catholic
564,6,Reid Club,Leslie,Marsh,46.0,Husband,Married,Male,"Teacher, secondary school",None,Catholic
565,6,Reid Club,Toby,Marsh,18.0,Son,Single,Male,Student,None,Catholic
566,6,Reid Club,Arthur,Marsh,14.0,Son,N/A,Male,Student,None,Not Stated
567,6,Reid Club,Julie,Marsh,10.0,Adopted Daughter,N/A,Female,Student,None,Not Stated
568,7,Reid Club,Mandy,Rowe,52.0,Head,Married,Female,Unemployed,None,Christian
569,7,Reid Club,Kieran,Rowe,55.0,Husband,Married,Male,Chartered management accountant,None,Not Stated
570,7,Reid Club,Katherine,Rowe,21.0,Daughter,Widowed,Female,University Student,None,Not Stated
571,7,Reid Club,Kieran,Rowe,16.0,Son,N/A,Male,Student,None,Not Stated
572,8,Reid Club,Bethany,Morrison,32.0,Head,Single,Female,"Research officer, trade union",None,Catholic
573,8,Reid Club,Leonard,Bailey,35.0,Partner,Single,Male,"Physicist, medical",None,Catholic
574,8,Reid Club,Stewart,Morrison,9.0,Son,N/A,Male,Student,None,Not Stated
575,8,Reid Club,Stuart,Morrison,6.0,Son,N/A,Male,Student,None,Not Stated
576,1,Minster Creek,Paige,Holmes,31.0,Head,Married,Female,Hotel manager,None,Catholic
577,1,Minster Creek,Lawrence,Holmes,33.0,Husband,Married,Male,Museum education officer,None,Not Stated
578,2,Minster Creek,Natasha,Dawson,57.0,Head,Single,Female,Unemployed,None,Methodist
579,3,Minster Creek,Judith,Williams,48.0,Head,Single,Female,Advice worker,None,Not Stated
580,4,Minster Creek,Angela,Myers,54.0,Head,Single,Female,Biomedical scientist,None,Not Stated
581,5,Minster Creek,Kimberley,Murray,51.0,Head,Single,Female,Proofreader,None,Not Stated
582,6,Minster Creek,Derek,Carroll,23.0,Head,Single,Male,Freight forwarder,None,Not Stated
583,7,Minster Creek,Alice,Edwards,63.0,Head,Single,Female,"Civil engineer, consulting",None,Not Stated
584,8,Minster Creek,Jay,Osborne,65.0,Head,Divorced,Male,Chief of Staff,None,Christian
585,8,Minster Creek,Jennifer,Bibi,4.0,Granddaughter,N/A,Female,Student,None,Not Stated
586,9,Minster Creek,Jeremy,James,40.0,Head,Single,Male,Police officer,None,Bahai
587,9,Minster Creek,Janet,North,45.0,Partner,Single,Female,Armed forces logistics/support/administrative officer,None,Bahai
588,10,Minster Creek,Andrea,Hunt,81.0,Head,Widowed,Female,Retired Medical physicist,None,Christian
589,11,Minster Creek,Katie,Gray,18.0,Head,Single,Female,Student,None,Not Stated
590,11,Minster Creek,Kevin,Davies,35.0,Unknown,Single,Male,Unemployed,None,Methodist
591,12,Minster Creek,Melanie,Smith,34.0,Head,Divorced,Female,Marine scientist,None,Catholic
592,13,Minster Creek,Vincent,Lee,66.0,Head,Widowed,Male,"Librarian, academic",None,Christian
593,14,Minster Creek,Marion,Simpson,53.0,Head,Married,Female,Arts administrator,None,Christian
594,14,Minster Creek,Tony,Simpson,56.0,Husband,Married,Male,Advertising account executive,None,Christian
595,14,Minster Creek,Carolyn,Simpson,14.0,Daughter,N/A,Female,Student,None,Not Stated
596,15,Minster Creek,Suzanne,Schofield,18.0,Head,Single,Female,University Student,None,Not Stated
597,15,Minster Creek,Douglas,Webb,35.0,Unknown,Single,Male,University Student,None,Catholic
598,15,Minster Creek,Samuel,Taylor,35.0,Unknown,Single,Male,University Student,None,Not Stated
599,16,Minster Creek,Jessica,Thomson,40.0,Head,Single,Female,Adult guidance worker,None,Not Stated
600,16,Minster Creek,Kyle,Williams,35.0,Unknown,Single,Male,Scientific laboratory technician,None,Methodist
601,17,Minster Creek,Roger,Green,79.0,Head,Widowed,Male,"Retired Accountant, chartered certified",None,Not Stated
602,18,Minster Creek,Caroline,Clarke,81.0,Head,Widowed,Female,Retired Network engineer,None,Christian
603,19,Minster Creek,Jay,Ford,19.0,Head,Married,Male,University Student,None,Christian
604,19,Minster Creek,Georgina,Ford,19.0,Wife,Married,Female,University Student,None,Christian
605,20,Minster Creek,Marian,Potts,67.0,Head,Married,Female,Site engineer,None,Not Stated
606,20,Minster Creek,Elliot,Walsh,69.0,Husband,Married,Male,Retired Art therapist,None,Not Stated
607,21,Minster Creek,Robert,Hussain,22.0,Head,Divorced,Male,Broadcast journalist,None,Christian
608,22,Minster Creek,Christine,Scott,72.0,Head,Widowed,Female,"Retired Presenter, broadcasting",None,Not Stated
609,23,Minster Creek,Jasmine,Wilson,38.0,Head,Divorced,Female,Unemployed,None,Not Stated
610,23,Minster Creek,Linda,Wilson,1.0,Daughter,N/A,Female,Student,None,Not Stated
611,24,Minster Creek,Callum,Williams,53.0,Head,Single,Male,Research scientist (life sciences),None,Not Stated
612,24,Minster Creek,Matthew,Field,35.0,Unknown,Single,Male,"Research officer, political party",None,Muslim
613,25,Minster Creek,Rosemary,Bartlett,66.0,Head,Single,Female,Broadcast journalist,None,Christian
614,26,Minster Creek,Gary,Pickering,28.0,Head,Single,Male,Production manager,None,Sikh
615,26,Minster Creek,Chelsea,Yates,29.0,Partner,Single,Female,Careers information officer,None,Sikh
616,27,Minster Creek,Brenda,Chapman,40.0,Head,Married,Female,Unemployed,None,Christian
617,27,Minster Creek,Jamie,Chapman,44.0,Husband,Married,Male,Land,None,Christian
618,27,Minster Creek,Joanna,Chapman,15.0,Daughter,N/A,Female,Student,None,Not Stated
619,28,Minster Creek,Gregory,Jackson,59.0,Head,Single,Male,Event organiser,None,Not Stated
620,29,Minster Creek,Marcus,Carey,72.0,Head,Widowed,Male,Retired Claims inspector/assessor,None,Christian
621,30,Minster Creek,Paula,Talbot,35.0,Head,Married,Female,Optometrist,None,Methodist
622,30,Minster Creek,Cameron,Talbot,38.0,Husband,Married,Male,Magazine features editor,None,Methodist
623,30,Minster Creek,June,Talbot,6.0,Daughter,N/A,Female,Student,None,Not Stated
624,30,Minster Creek,Wendy,Talbot,2.0,Daughter,N/A,Female,Student,None,Not Stated
625,31,Minster Creek,Angela,Johnson,79.0,Head,Widowed,Female,"Retired Civil engineer, consulting",None,Christian
626,32,Minster Creek,Molly,Palmer,35.0,Head,Single,Female,Sports administrator,None,Not Stated
627,33,Minster Creek,Mitchell,Powell,105.0,Head,Married,Male,Retired Analytical chemist,None,Jewish
628,33,Minster Creek,Debra,Powell,103.0,Wife,Married,Female,"Retired Radiographer, diagnostic",None,Jewish
629,34,Minster Creek,Zoe,Kaur,28.0,Head,Divorced,Female,"Engineer, broadcasting (operations)",None,Not Stated
630,35,Minster Creek,Wendy,Khan,31.0,Head,Divorced,Female,Secondary school teacher,None,Not Stated
631,36,Minster Creek,Wendy,Waters-Bruce,34.0,Head,Single,Female,Hospital doctor,None,Christian
632,36,Minster Creek,Joshua,Miller,36.0,Partner,Single,Male,Editorial assistant,None,Christian
633,36,Minster Creek,Pamela,Waters-Bruce,9.0,Daughter,N/A,Female,Student,None,Not Stated
634,37,Minster Creek,Mark,Swift,34.0,Head,Single,Male,Unemployed,None,Christian
635,38,Minster Creek,Raymond,Cox,51.0,Head,Divorced,Male,Systems analyst,None,Christian
636,39,Minster Creek,Donna,Savage,66.0,Head,Widowed,Female,Technical author,None,Christian
637,40,Minster Creek,Cheryl,O'Connor,50.0,Head,Single,Female,Podiatrist,None,Catholic
638,41,Minster Creek,Paula,Davey,20.0,Head,Married,Female,University Student,None,Catholic
639,41,Minster Creek,Michelle,Davey,22.0,Wife,Married,Female,University Student,None,Catholic
640,42,Minster Creek,Jean,Harris,63.0,Head,Single,Female,Midwife,None,Christian
641,42,Minster Creek,Lynda,Harris,8.0,Granddaughter,N/A,Female,Student,None,Not Stated
642,43,Minster Creek,Gavin,Miller,54.0,Head,Single,Male,Unemployed,None,Not Stated
643,43,Minster Creek,Leah,Brady,54.0,Partner,Single,Female,"Engineer, communications",None,Not Stated
644,43,Minster Creek,Lisa,Miller,14.0,Daughter,N/A,Female,Student,None,Not Stated
645,44,Minster Creek,Marian,Rees,72.0,Head,Widowed,Female,Retired Publishing copy,None,Christian
646,1,York Lane,Abdul,Wright,23.0,Head,Married,Male,"Education officer, community",None,Not Stated
647,1,York Lane,Megan,Wright,24.0,Wife,Married,Female,Market researcher,None,Not Stated
648,1,York Lane,Jodie,Wright,1.0,Step-Daughter,N/A,Female,Student,None,Not Stated
649,2,York Lane,June,Mason,43.0,Head,Divorced,Female,Unemployed,None,Methodist
650,2,York Lane,Geraldine,Mason,15.0,Daughter,N/A,Female,Student,Deaf,Not Stated
651,3,York Lane,Joan,Elliott,59.0,Head,Married,Female,Sports therapist,None,Christian
652,3,York Lane,Elliot,Elliott,61.0,Husband,Married,Male,Geochemist,None,Christian
653,4,York Lane,Lynn,Foster,36.0,Head,Married,Female,Chartered loss adjuster,None,Catholic
654,4,York Lane,Jeffrey,Foster,39.0,Husband,Married,Male,Chartered public finance accountant,None,Not Stated
655,4,York Lane,Maurice,Foster,5.0,Son,N/A,Male,Student,None,Not Stated
656,4,York Lane,Paul,Foster,3.0,Son,N/A,Male,Student,None,Not Stated
657,5,York Lane,Scott,Pearson,32.0,Head,Single,Male,"Production assistant, television",None,Methodist
658,5,York Lane,Vincent,Evans,35.0,Unknown,Single,Male,"Conservation officer, historic buildings",None,Not Stated
659,5,York Lane,Kyle,Black,35.0,Unknown,Single,Male,Actor,None,Christian
660,6,York Lane,Carolyn,Moore,42.0,Head,Married,Female,Associate Professor,None,Christian
661,6,York Lane,Arthur,Moore,49.0,Husband,Married,Male,"Designer, fashion/clothing",None,Christian
662,6,York Lane,Nicholas,Moore,4.0,Son,N/A,Male,Student,None,Not Stated
663,7,York Lane,Lynn,Thompson,35.0,Head,Married,Female,"Engineer, electrical",None,Not Stated
664,7,York Lane,Sean,Thompson,37.0,Husband,Married,Male,Secondary school teacher,None,Not Stated
665,7,York Lane,Gregory,Thompson,6.0,Son,N/A,Male,Student,None,Not Stated
666,8,York Lane,Charlene,Bailey,75.0,Head,Married,Female,Retired Psychiatric nurse,None,Christian
667,8,York Lane,David,Bailey,80.0,Husband,Married,Male,Retired Proofreader,None,Christian
668,9,York Lane,Toby,Garner,23.0,Head,Married,Male,Television floor manager,None,Not Stated
669,9,York Lane,Georgina,Garner,21.0,Wife,Married,Female,University Student,None,Not Stated
670,10,York Lane,Andrea,Reid,29.0,Head,Married,Female,Brewing technologist,None,Christian
671,10,York Lane,Sheila,Reid,31.0,Wife,Married,Female,Landscape architect,None,Christian
672,10,York Lane,Julian,Reid,8.0,Son,N/A,Male,Student,None,Not Stated
673,10,York Lane,Keith,Reid,5.0,Son,N/A,Male,Student,None,Not Stated
674,11,York Lane,Michelle,Griffiths,49.0,Head,Single,Female,Call centre manager,None,Not Stated
675,11,York Lane,Harry,Hardy,51.0,Partner,Single,Male,"Producer, radio",None,Not Stated
676,12,York Lane,Amelia,Ashton,54.0,Head,Single,Female,Textile designer,None,Christian
677,12,York Lane,Dominic,Matthews,58.0,Partner,Single,Male,Tax adviser,None,Christian
678,12,York Lane,Jacqueline,Ashton,17.0,Daughter,N/A,Female,Student,None,Not Stated
679,12,York Lane,Katy,Ashton,15.0,Daughter,N/A,Female,Student,None,Not Stated
680,12,York Lane,Christopher,Ashton,15.0,Son,N/A,Male,Student,None,Not Stated
681,13,York Lane,Kyle,Bell,56.0,Head,Single,Male,"Scientist, research (life sciences)",None,Christian
682,13,York Lane,Alexander,Barton,35.0,Unknown,Single,Male,Building services engineer,None,Not Stated
683,14,York Lane,Leanne,Brady,65.0,Head,Married,Female,Toxicologist,None,Methodist
684,14,York Lane,Brian,Brady,69.0,Husband,Married,Male,Retired Estate manager/land agent,None,Methodist
685,14,York Lane,Judith,Brady,32.0,Daughter,Single,Female,Merchant navy officer,None,Not Stated
686,14,York Lane,Victoria,Brady,28.0,Daughter,Single,Female,"Radiographer, therapeutic",None,Methodist
687,14,York Lane,Alexandra,Brady,24.0,Daughter,Single,Female,Analytical chemist,None,Methodist
688,15,York Lane,Clifford,Young,54.0,Head,Single,Male,Warden/ranger,None,Not Stated
689,15,York Lane,Rebecca,Jones,35.0,Unknown,Single,Female,Naval architect,None,Not Stated
690,15,York Lane,Donald,Lowe,35.0,Unknown,Single,Male,Haematologist,None,Not Stated
691,15,York Lane,Hayley,Williams,35.0,Unknown,Single,Female,Building services engineer,None,Christian
692,16,York Lane,Josh,Wilson,54.0,Head,Married,Male,Horticultural therapist,None,Methodist
693,16,York Lane,Gillian,Wilson,58.0,Wife,Married,Female,Public relations officer,None,Not Stated
694,17,York Lane,Christian,Peacock,54.0,Head,Single,Male,Multimedia specialist,None,Methodist
695,17,York Lane,Charlie,Hayward,35.0,Unknown,Single,Male,Holiday representative,None,Methodist
696,17,York Lane,John,Smith,35.0,Unknown,Single,Male,Chief Strategy Officer,None,Not Stated
697,18,York Lane,Janet,Dennis,41.0,Head,Married,Female,Health promotion specialist,None,Catholic
698,18,York Lane,Edward,Dennis,41.0,Husband,Married,Male,Unemployed,None,Catholic
699,18,York Lane,Nigel,Dennis,19.0,Son,Single,Male,University Student,None,Not Stated
700,18,York Lane,Jemma,Dennis,18.0,Daughter,Single,Female,Student,None,Not Stated
701,19,York Lane,Paul,Matthews,58.0,Head,Married,Male,Financial risk analyst,None,Christian
702,19,York Lane,Abigail,Matthews,56.0,Wife,Married,Female,"Geologist, engineering",None,Christian
703,20,York Lane,Alice,Dawson,19.0,Head,Single,Female,University Student,None,Not Stated
704,21,York Lane,Jason,Smith,31.0,Head,Single,Male,Counselling psychologist,None,Not Stated
705,22,York Lane,Scott,Jones,35.0,Head,Married,Male,"Conservator, furniture",None,Christian
706,22,York Lane,Stephanie,Jones,33.0,Wife,Married,Female,Communications engineer,None,Not Stated
707,22,York Lane,Eileen,Jones,1.0,Daughter,N/A,Female,Student,None,Not Stated
708,23,York Lane,Hollie,Mann,31.0,Head,Divorced,Female,"Scientist, research (physical sciences)",None,Not Stated
709,23,York Lane,Barbara,Jenkins,34.0,Lodger,Single,Female,"Surveyor, insurance",None,Christian
710,23,York Lane,Molly,Campbell,32.0,Lodger,Single,Female,Clothing/textile technologist,None,Catholic
711,23,York Lane,Rachel,Fraser,58.0,Lodger,Single,Female,Probation officer,None,Christian
712,1,Wakefieldbait Avenue,Karen,Turner,71.0,Head,Divorced,Female,Retired International aid/development worker,None,Not Stated
713,1,Wakefieldbait Avenue,June,Murphy,41.0,Daughter,Divorced,Female,Bonds trader,None,Not Stated
714,2,Wakefieldbait Avenue,Francis,Evans,64.0,Head,Single,Male,Site engineer,None,Christian
715,2,Wakefieldbait Avenue,Mark,Evans,37.0,Son,Single,Male,Dealer,None,Christian
716,2,Wakefieldbait Avenue,Natalie,Evans,31.0,Daughter,Divorced,Female,Building services engineer,None,Not Stated
717,3,Wakefieldbait Avenue,Georgia,Taylor,35.0,Head,Single,Female,Unemployed,None,Catholic
718,3,Wakefieldbait Avenue,Connor,Chambers,43.0,Lodger,Single,Male,Geophysicist/field seismologist,None,Christian
719,3,Wakefieldbait Avenue,David,Turner,20.0,Lodger,Single,Male,University Student,None,Muslim
720,4,Wakefieldbait Avenue,Lucy,Ward,42.0,Head,Married,Female,Geophysical data processor,None,Christian
721,4,Wakefieldbait Avenue,Joshua,Ward,44.0,Husband,Married,Male,Web designer,None,Christian
722,4,Wakefieldbait Avenue,Amber,Ward,17.0,Daughter,N/A,Female,Student,None,Not Stated
723,5,Wakefieldbait Avenue,Sara,Fowler,36.0,Head,Married,Female,"Therapist, drama",None,Catholic
724,5,Wakefieldbait Avenue,Damien,Fowler,38.0,Husband,Married,Male,"Chemist, analytical",None,Catholic
725,5,Wakefieldbait Avenue,Barry,Fowler,8.0,Son,N/A,Male,Student,None,Not Stated
726,6,Wakefieldbait Avenue,Martyn,Elliott,40.0,Head,Married,Male,"Pharmacist, hospital",None,Not Stated
727,6,Wakefieldbait Avenue,Aimee,Elliott,38.0,Wife,Married,Female,Immunologist,None,Not Stated
728,7,Wakefieldbait Avenue,Hannah,Ahmed,47.0,Head,Single,Female,Prison officer,None,Not Stated
729,7,Wakefieldbait Avenue,Donald,White,47.0,Partner,Single,Male,Futures trader,None,Not Stated
730,7,Wakefieldbait Avenue,Aaron,Ahmed,13.0,Son,N/A,Male,Student,None,Not Stated
731,7,Wakefieldbait Avenue,Christopher,Ahmed,10.0,Son,N/A,Male,Student,None,Not Stated
732,7,Wakefieldbait Avenue,Kieran,Ahmed,6.0,Son,N/A,Male,Student,None,Not Stated
733,7,Wakefieldbait Avenue,Marilyn,Ahmed,4.0,Daughter,N/A,Female,Student,None,Not Stated
734,8,Wakefieldbait Avenue,Tracy,Gardner,28.0,Head,Divorced,Female,Unemployed,None,Christian
735,8,Wakefieldbait Avenue,Shirley,Gardner,11.0,Daughter,N/A,Female,Student,None,Not Stated
736,9,Wakefieldbait Avenue,Chelsea,Patel,46.0,Head,Married,Female,Copy,None,Not Stated
737,9,Wakefieldbait Avenue,Elliott,Patel,51.0,Husband,Married,Male,Osteopath,None,Not Stated
738,9,Wakefieldbait Avenue,Sandra,Patel,16.0,Daughter,N/A,Female,Student,None,Not Stated
739,10,Wakefieldbait Avenue,Karen,Allen,45.0,Head,Married,Female,Manufacturing engineer,None,Christian
740,10,Wakefieldbait Avenue,Alan,Allen,49.0,Husband,Married,Male,Television/film/video producer,None,Not Stated
741,10,Wakefieldbait Avenue,Caroline,Allen,24.0,Daughter,Divorced,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
742,10,Wakefieldbait Avenue,Barbara,Allen,24.0,Daughter,Divorced,Female,Make,None,Christian
743,11,Wakefieldbait Avenue,Antony,Walters,82.0,Head,Widowed,Male,Retired Intelligence analyst,None,Christian
744,11,Wakefieldbait Avenue,Damian,Walters,24.0,Grandson,Single,Male,Barrister,None,Christian
745,11,Wakefieldbait Avenue,Joseph,Nelson,19.0,Grandson,Divorced,Male,University Student,None,Christian
746,12,Wakefieldbait Avenue,Mark,Collins,24.0,Head,Single,Male,Unemployed,None,Not Stated
747,13,Wakefieldbait Avenue,Nicholas,Rowe,57.0,Head,Divorced,Male,Commercial/residential surveyor,None,Methodist
748,14,Wakefieldbait Avenue,Aimee,Hopkins,40.0,Head,Single,Female,Trading standards officer,None,Not Stated
749,14,Wakefieldbait Avenue,Carole,Hopkins,10.0,Daughter,N/A,Female,Student,None,Not Stated
750,14,Wakefieldbait Avenue,Stewart,Hopkins,1.0,Son,N/A,Male,Student,None,Not Stated
751,15,Wakefieldbait Avenue,Robin,Spencer,58.0,Head,Married,Male,Fish farm manager,None,Methodist
752,15,Wakefieldbait Avenue,Katie,Spencer,52.0,Wife,Married,Female,Geochemist,None,Not Stated
753,15,Wakefieldbait Avenue,Kim,Spencer,15.0,Daughter,N/A,Female,Student,None,Not Stated
754,15,Wakefieldbait Avenue,Richard,Spencer,13.0,Son,N/A,Male,Student,None,Not Stated
755,16,Wakefieldbait Avenue,Jodie,Taylor,58.0,Head,Married,Female,Clinical research associate,None,Catholic
756,16,Wakefieldbait Avenue,Thomas,Taylor,60.0,Husband,Married,Male,"Surveyor, insurance",None,Catholic
757,16,Wakefieldbait Avenue,Craig,Taylor,28.0,Son,Divorced,Male,"Therapist, sports",None,Catholic
758,16,Wakefieldbait Avenue,Lydia,Taylor,0.0,Daughter,N/A,Female,Student,None,Not Stated
759,17,Wakefieldbait Avenue,Jean,Murray,49.0,Head,Married,Female,Museum/gallery curator,None,Methodist
760,17,Wakefieldbait Avenue,Bernard,Murray,51.0,Husband,Married,Male,Environmental consultant,None,Methodist
761,17,Wakefieldbait Avenue,Shirley,Murray,18.0,Daughter,Single,Female,Student,None,Not Stated
762,17,Wakefieldbait Avenue,Debra,Taylor,3.0,Daughter,N/A,Female,Student,None,Not Stated
763,18,Wakefieldbait Avenue,Russell,Wood,65.0,Head,Single,Male,Aeronautical engineer,None,Catholic
764,19,Wakefieldbait Avenue,Andrew,Jenkins,52.0,Head,Married,Male,"Physicist, medical",None,Methodist
765,19,Wakefieldbait Avenue,Geraldine,Jenkins,50.0,Wife,Married,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Not Stated
766,19,Wakefieldbait Avenue,Graham,Smith-Jenkins,12.0,Son,N/A,Male,Student,None,Not Stated
767,19,Wakefieldbait Avenue,Dale,Smith-Jenkins,9.0,Son,N/A,Male,Student,None,Not Stated
768,20,Wakefieldbait Avenue,Ashleigh,McDonald,56.0,Head,Married,Female,"Biochemist, clinical",None,Christian
769,20,Wakefieldbait Avenue,Elliott,McDonald,61.0,Husband,Married,Male,Seismic interpreter,None,Christian
770,20,Wakefieldbait Avenue,Josh,McDonald,16.0,Son,N/A,Male,Student,None,Not Stated
771,21,Wakefieldbait Avenue,Rebecca,Smith,62.0,Head,Married,Female,Chief Operating Officer,None,Christian
772,21,Wakefieldbait Avenue,Ronald,Smith,64.0,Husband,Married,Male,Ecologist,None,Christian
773,21,Wakefieldbait Avenue,Clare,Smith,27.0,Daughter,Single,Female,Ergonomist,None,Not Stated
774,21,Wakefieldbait Avenue,Alexandra,Smith,7.0,Daughter,N/A,Female,Student,None,Not Stated
775,22,Wakefieldbait Avenue,Maureen,Riley,45.0,Head,Divorced,Female,Office manager,None,Christian
776,22,Wakefieldbait Avenue,Amelia,Riley,15.0,Daughter,N/A,Female,Student,None,Not Stated
777,22,Wakefieldbait Avenue,Alison,Walters,13.0,Daughter,N/A,Female,Student,None,Not Stated
778,22,Wakefieldbait Avenue,Lee,Walters,10.0,Son,N/A,Male,Student,None,Not Stated
779,23,Wakefieldbait Avenue,Kirsty,Davies,65.0,Head,Married,Female,Interior and spatial designer,None,Christian
780,23,Wakefieldbait Avenue,Ashley,Davies,65.0,Husband,Married,Male,Office manager,None,Christian
781,23,Wakefieldbait Avenue,George,Davies,35.0,Son,Single,Male,Museum/gallery conservator,None,Christian
782,24,Wakefieldbait Avenue,Anthony,Gray,87.0,Head,Widowed,Male,Retired Production manager,None,Christian
783,25,Wakefieldbait Avenue,Vanessa,Evans,49.0,Head,Married,Female,"Designer, jewellery",None,Catholic
784,25,Wakefieldbait Avenue,Timothy,Evans,52.0,Husband,Married,Male,"Engineer, technical sales",None,Catholic
785,25,Wakefieldbait Avenue,Diana,Evans,25.0,Daughter,Single,Female,"Sales professional, IT",None,Catholic
786,25,Wakefieldbait Avenue,Malcolm,Evans,23.0,Son,Single,Male,Unemployed,None,Catholic
787,26,Wakefieldbait Avenue,Louise,Davidson,70.0,Head,Single,Female,Retired Operations geologist,None,Christian
788,27,Wakefieldbait Avenue,Bethan,Graham,32.0,Head,Married,Female,Fashion designer,None,Not Stated
789,27,Wakefieldbait Avenue,Mitchell,Graham,34.0,Husband,Married,Male,English as a foreign language teacher,None,Not Stated
790,27,Wakefieldbait Avenue,Neil,Graham,2.0,Son,N/A,Male,Student,None,Not Stated
791,27,Wakefieldbait Avenue,Leigh,Graham,0.0,Son,N/A,Male,Student,None,Not Stated
792,27,Wakefieldbait Avenue,Dennis,Johnson,34.0,Cousin,Single,Male,Oncologist,None,Not Stated
793,27,Wakefieldbait Avenue,Rita,Jones,34.0,Lodger,Divorced,Female,Unemployed,None,Not Stated
794,28,Wakefieldbait Avenue,Nigel,Wilkins-Stokes,31.0,Head,Married,Male,Company secretary,None,Catholic
795,28,Wakefieldbait Avenue,Chloe,Wilkins-Stokes,27.0,Wife,Married,Female,"Geologist, wellsite",None,Not Stated
796,28,Wakefieldbait Avenue,Kathryn,Wilkins-Stokes,3.0,Daughter,N/A,Female,Student,None,Not Stated
797,28,Wakefieldbait Avenue,Lewis,Wilkins-Stokes,1.0,Son,N/A,Male,Student,None,Not Stated
798,28,Wakefieldbait Avenue,Kerry,Wilkins-Stokes,1.0,Daughter,N/A,Female,Student,None,Not Stated
799,29,Wakefieldbait Avenue,Catherine,Lucas,56.0,Head,Single,Female,"Designer, ceramics/pottery",None,Christian
800,29,Wakefieldbait Avenue,Duncan,Evans,56.0,Partner,Single,Male,Chief Financial Officer,None,Christian
801,30,Wakefieldbait Avenue,Victor,Thomas-Taylor,65.0,Head,Married,Male,Unemployed,None,Christian
802,30,Wakefieldbait Avenue,Sian,Thomas-Taylor,65.0,Wife,Married,Female,Teaching laboratory technician,None,Christian
803,31,Wakefieldbait Avenue,Abigail,Russell,35.0,Head,Divorced,Female,Unemployed,None,Not Stated
804,31,Wakefieldbait Avenue,Matthew,Powell,2.0,Son,N/A,Male,Student,None,Not Stated
805,31,Wakefieldbait Avenue,Hannah,Powell,2.0,Daughter,N/A,Female,Student,None,Not Stated
806,31,Wakefieldbait Avenue,Rosie,Powell,2.0,Daughter,N/A,Female,Student,None,Not Stated
807,31,Wakefieldbait Avenue,Iain,Cooke,44.0,Lodger,Single,Male,Retail merchandiser,None,Not Stated
808,32,Wakefieldbait Avenue,Katie,Wheeler,32.0,Head,Married,Female,Risk analyst,None,Not Stated
809,32,Wakefieldbait Avenue,Scott,Bevan,30.0,Husband,Married,Male,"Psychologist, counselling",None,Not Stated
810,32,Wakefieldbait Avenue,Marian,Wheeler,4.0,Daughter,N/A,Female,Student,None,Not Stated
811,32,Wakefieldbait Avenue,Russell,Wheeler,3.0,Son,N/A,Male,Student,None,Not Stated
812,33,Wakefieldbait Avenue,Carly,Parkin,88.0,Head,Divorced,Female,"Retired Surveyor, building control",None,Christian
813,34,Wakefieldbait Avenue,Jenna,Rowe,40.0,Head,Married,Female,Sports coach,None,Christian
814,34,Wakefieldbait Avenue,Connor,Rowe,45.0,Husband,Married,Male,"Surveyor, rural practice",None,Christian
815,34,Wakefieldbait Avenue,Adrian,Rowe,6.0,Son,N/A,Male,Student,None,Not Stated
816,35,Wakefieldbait Avenue,Sheila,Bennett,52.0,Head,Single,Female,Multimedia programmer,None,Christian
817,35,Wakefieldbait Avenue,Emma,Fraser,35.0,Unknown,Single,Female,Advertising copywriter,None,Christian
818,35,Wakefieldbait Avenue,Pamela,Parker,35.0,Unknown,Single,Female,English as a foreign language teacher,None,Catholic
819,36,Wakefieldbait Avenue,Mohamed,Hayward,35.0,Head,Married,Male,Field seismologist,None,Not Stated
820,36,Wakefieldbait Avenue,Debra,Hayward,33.0,Wife,Married,Female,"Copywriter, advertising",None,Not Stated
